CustomerID,recency,frequency,total_quantity,total_spend,avg_order_value,unique_products,country,target_30d_spend
12346.0,255,12,74285,77556.46,2281.0723529411766,27,United Kingdom,0.0
12347.0,59,6,2418,4114.18,21.098358974358977,107,Iceland,0.0
12348.0,5,5,2714,2019.4,39.596078431372554,25,Finland,0.0
12349.0,337,3,993,2671.14,26.18764705882353,90,Italy,0.0
12350.0,240,1,197,334.4,19.670588235294115,17,Norway,0.0
12351.0,305,1,261,300.93,14.33,21,Unspecified,0.0
12352.0,2,9,597,2538.11,28.842159090909092,59,Norway,0.0
12353.0,134,2,212,406.76,16.948333333333334,23,Bahrain,0.0
12354.0,162,1,530,1079.4,18.610344827586207,58,Spain,0.0
12355.0,144,2,543,947.61,27.074571428571428,35,Bahrain,0.0
12356.0,175,5,3412,6315.33,44.78957446808511,104,Portugal,0.0
12357.0,318,2,3879,12079.99,73.2120606060606,165,Switzerland,0.0
12358.0,80,4,931,3203.87,45.769571428571425,56,Austria,0.0
12359.0,119,9,2095,6059.09,23.304192307692308,230,Cyprus,2876.85
12360.0,42,7,1968,3209.11,19.687791411042944,123,Austria,1043.78
12361.0,217,4,235,511.25,17.629310344827587,18,Belgium,0.0
12362.0,2,6,1256,2707.34,18.54342465753425,121,Belgium,1641.91
12363.0,39,2,408,552.0,24.0,23,Unspecified,0.0
12364.0,8,2,736,703.72,19.547777777777778,34,Belgium,299.06
12365.0,221,2,174,641.38,29.153636363636362,22,Cyprus,0.0
12366.0,563,1,296,500.24,166.74666666666667,3,Cyprus,0.0
12368.0,558,1,330,917.6999999999999,50.98333333333333,18,Cyprus,0.0
12369.0,343,3,1241,1791.15,19.25967741935484,90,Austria,0.0
12370.0,204,6,2225,3581.03,20.580632183908047,150,Austria,739.28
12371.0,339,3,845,2179.42,20.95596153846154,91,Switzerland,1887.96
12372.0,1,3,794,1298.04,24.962307692307693,34,Denmark,0.0
12373.0,241,3,516,1127.65,22.110784313725492,36,Austria,0.0
12374.0,351,3,1020,2246.29,44.9258,47,Austria,0.0
12375.0,28,1,87,230.3,20.936363636363637,11,Finland,0.0
12376.0,319,2,240,503.15,38.70384615384615,11,Switzerland,0.0
12377.0,245,4,2105,3426.32,22.54157894736842,129,Switzerland,0.0
12378.0,59,2,3316,5416.32,17.994418604651162,281,Switzerland,0.0
12379.0,11,4,815,1620.22,20.002716049382716,58,Belgium,0.0
12380.0,8,9,2811,8185.05,34.53607594936709,136,Belgium,450.86
12381.0,49,1,568,1268.74,20.463548387096775,62,Norway,10.5
12383.0,114,5,1532,1850.56,18.69252525252525,84,Belgium,0.0
12384.0,51,1,62,292.69,20.90642857142857,14,Switzerland,0.0
12385.0,309,1,612,1938.4,29.821538461538463,65,Belgium,0.0
12386.0,267,2,568,660.8,36.71111111111111,10,Australia,0.0
12387.0,345,1,134,143.94,15.993333333333332,9,Australia,0.0
12388.0,5,7,1777,3614.71,26.19355072463768,83,Australia,0.0
